id,descriptor_id,nombre,created_at,updated_at
5506,5140,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5507,5140,Configuración,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5609,2070,Apropiación Indebida,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5610,5609,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5611,5610,Dolo y elemento subjetivo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7502,5610,Provecho,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5612,5609,Un delito no pude ser renovado al cumplimiento de una obligación.,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6587,5609,Las personas jurídicas pueden ser sujetos pasivos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7521,5609,La infracción surge cuando el que recibió la cosa o el valor se niega a restituirlo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8345,5609,Puede configurarse en razon de un negocio jurídico preexistente,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10445,5609,Beneficio propio o de tercera persona,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7504,2070,Abuso de Confianza,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7505,7504,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7506,7505,Daño causado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10448,7505,Retener como dueño lo que hubiese recibido,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9960,2070,Estelionato,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9961,9960,Dolo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2081,1801,Delitos contra la fe pública,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2082,2081,Delitos de falsificación de documentos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2083,2082,En apelación se debe vigilar la labor del inferior sobre el tipo de documento supuestamente alterado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3372,2081,Uso de instrumento falsificado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3373,3372,Para su configuración no requiere haberse demostrado que él imputado también es autor del delito de Falsedad Material,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6906,3372,No requiere que previamente se acredite la autoría del documento falso,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8331,3372,Delito de Falsedad y Uso de Instrumento Falsificado se excluyen entre sí,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8342,3372,De pura actividad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10260,3372,configuración,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3374,2081,Falsedad ideologica,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3375,3374,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3376,3375,La ausencia del elemento de la declaración falsa probada en el documento es una conducta atípica y no un delito,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8341,3375,Suficiente la existencia de perjuicio potencial,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8332,3374,Delito de Falsedad y Uso de Instrumento Falsificado se excluyen entre sí,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3470,2081,Cheque en descubierto,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3471,3470,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7508,3470,Cheque caduco,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8334,3470,Condiciones para su configuración,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4581,2081,Falsedad Material,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4582,4581,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2115,1801,Contra el honor,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2116,2115,Calumnia,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2117,2116,Discusión sobre el honor de las personas jurídicas,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2118,2116,Posibilidad que personas jurídicas sean sujetos pasivos del delito,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3042,2116,Características,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6667,2116,Para su configuración debe imputarse falsamente de la comisión de un delito,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10759,2116,Para su configuración debe imputarse falsamente de la comisión de un delito..,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10324,10759,No es necesario que sea ante autoridad judicial o policial,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2538,2115,Injuria,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3038,2538,Elementos constitutivos del tipo penal,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10760,2538,Elementos constitutivos del tipo penal..,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3040,2115,Difamación,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3041,3040,Características,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8161,2115,Calificación del hecho al tipo penal,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10758,2115,Calificación del hecho al tipo penal..,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8162,10758,El juez debe establecer la concurrencia del dolo con el que actuó el denunciado considerando el ámbito social cuando exista un conflicto social,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2126,1801,Aspectos generales,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2127,2126,c,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3103,1801,Contra la libertad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3104,3103,Contra la inviolabilidad de domicilio,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3105,3104,Allanamiento de Domicilio,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3106,3105,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3108,3106,No existe delito por ausencia de dolo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6017,3105,Protege la intimidad y no la propiedad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4546,1801,Contra la Economía Nacional,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4822,1801,Contra la Seguridad Común,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4823,4822,Conducción peligrosa de vehículo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4824,4823,No es exigibe la individualización de una disposición de transito para proteger la seguridad común de las personas,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7329,1801,Contra la función judicial,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7330,7329,Contra la actividad judicial,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7331,7330,Omisión de denuncia,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7519,7331,El administrador o gerente de un centro médico por no estar vinculado a la práctica médica no está obligado a denunciar las lesiones graves,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8156,1801,Contra la libertad sexual,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8157,8156,Violación,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8158,8157,Tribunal de Juicio está habilitado para cambiar el tipo penal con la única condicionante que se trate de la misma familia de delitos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10264,8157,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10265,10264,Violencia psicológica y física para acceso carnal,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9950,8156,Violencia Familiar o Doméstica,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9951,9950,No rompe el principio de congruencia cuando se califica existencia de violencia psicológica y no física,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8195,1801,Contra la dignidad del ser humano,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8196,8195,Insultos y otras agresiones verbales por motivos racistas o discriminatorios,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8197,8196,La existencia del ilícito se establecerá sobre la prueba presentada y no así sobre la demanda que toma aspectos parciales de los mismos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10761,1801,Contra la dignidad del ser humano..,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10762,10761,Insultos y otras agresiones por motivos rascistas o discriminatorios..,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10763,10762,La existencia del ilícito se establecerá sobre la prueba presentada y no así sobre la demanda que toma aspectos parciales de los mismos..,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10764,1801,Contra la Economía Nacional..,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4547,10764,Verbos rectores,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4548,10764,Para establecer el daño económico no se precisa un proceso de auditoria previa,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10267,10764,Incumplimiento de Contrato,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10268,10267,Orden de compra tiene rango de contrato,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10361,10764,Fraude Comercial,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10363,10361,Los actos del documento no deben efectivizarse en otro territorio,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1836,1487,Las Penas,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1837,1836,Determinación o fijación de la pena (quantum),2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1838,1837,Modificable en apelación,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1992,1837,Atenuantes,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1993,1992,Conducta anterior del imputado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1994,1993,No significa apreciar su conducta dentro del juicio oral,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1997,1837,Se deben considerar circunstancias atenuantes y agravantes,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2097,1837,Pautas,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2099,1837,Presupone un análisis integral de la jerarquización y ponderación de las circunstancias particulares y excluyentes,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3695,1837,La modificación del quantum de la pena tiene como parametro la última sentencia y no la que fue anulada,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3752,1837,Pena indeterminada,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5216,1837,En la tentativa no tiene límite en su aplicación,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9539,1837,En procedimiento abreviado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9538,9539,No puede imponerse una pena mayor a la requerida por el fiscal y solo admitira la posibilidad de reducirse por una sanción menor,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1913,1836,Perdón judicial,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1914,1913,No se puede condicionar el perdón judicial a la satisfacción de la responsabilidad civil,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3012,1913,Opera ante delitos de corrupción por retroactividad de la Ley,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8340,1913,No se aplica la Ley 004 retroactivamente al ser desfavorable,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1920,1836,Concurso,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1921,1920,Real,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1922,1921,Se aplica la pena más grave prevista para los delitos cometidos pudiendo aumentarse el máximo hasta la mitad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6643,1921,El art. 45 del CP no es una norma de cumplimiento imperativo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7501,1921,La fijacion del concurso de delitos del art. 45 del CP es facultativo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2128,1920,Alcances...,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5195,1920,Definicion,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5222,1920,Fijación de la pena en concurso de delitos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8330,1920,Delito de Falsedad y Uso de Instrumento Falsificado son excluyentes entre si,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2095,1836,Alcance,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2096,2095,Fines constitucionales de la pena,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2123,1836,Individualización,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2124,2123,Etapas,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3117,1836,Eximentes de responsabilidad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6607,1836,Rebaja de la pena,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6608,6607,Debe dejarse sin efecto el Auto de Vista que no fundamento las atenuantes o agravantes para haber modificado la pena,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1905,1487,Participación criminal,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1906,1905,Complicidad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1907,1906,Definiciones,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7420,1906,Es individual y no depende de la identificación o responsabilidad del autor,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1960,1487,Prescripción,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1961,1960,Imprescriptibilidad de los delitos de corrupción,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
1962,1961,Situaciones de procedibilidad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7536,1961,Delitos de servidores públicos que atenten contra el patrimonio y causen gravo daño económico al Estado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9404,7536,Su aplicación es inmediata a los procesos judiciales a partir de la vigencia de la CPE,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10944,1961,Delitos de servidores públicos que atenten contra el patrimonio y causen grave daño económico al estado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3194,1960,Cómputo de la prescripción,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3758,1960,Imprescriptibilidad de los crímenes de lesa humanidad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8670,1960,Su aplicación está comprendida en la Ley procesal y no sustantiva,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9572,1960,No se puede aplicar para cada delito investigado o hecho aislado.,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2101,1487,Ley penal,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2102,2101,En el tiempo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2103,2102,Ultractividad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
